U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114406           SALG. CROKYS C/30 CAMARRAO                        UNI???ATF0000000000000400
P210385908000114407           SALG. CROKYS C/30 CEBOLA                          UNI???ATF0000000000000400
P210385908000114408           SALG. CROKYS C/30 GALINHA                         UNI???ATF0000000000000400
P210385908000114409           SALG. CROKYS CHURRASCO 70G                        UNI???ATF0000000000000820
P210385908000114410           SALG. CROKYS PRESUNTO 70G                         UNI???ATF0000000000000820
P210385908000114411           SALG. CROKYS CHURRASCO 30G                        UNI???ATF0000000000000400
P210385908000114412           SALG. CROKYS QUEIJO 70G                           UNI???ATF0000000000000820
P210385908000114413           SALG. CARUARU CEBOLA 25G                          UNI???ATF0000000000000400
P210385908000114414           SARD. GOMES OLEO                                  CX????ATI0000000000000210
P210385908000114415           SARDINHA COQUEIRO TOMATE C/54                     CX????ATI0000000000012500
P210385908000114416           SBP MULT INSETICIDA300 ML C/6                     PC????ATT1800000000004600
P210385908000114417           SCHIN COLA 2000ML                                 PC????ATF0000000000001700
P210385908000114615           SALG. PIPOFLOCS CEBOLA 70 G                       UNI???ATT1800000000000450
P210385908000114614           SALG. PIPOFLOCS QUEIJO C/30                       UNI???ATT1800000000000280
P210385908000114420           SCHIN GUARANA 2000ML                              PC????ATF0000000000001600
P210385908000114422           SCHIN LARANJA 2000ML                              PC????ATF0000000000001600
P210385908000114599           EXCLUIDO                                          UNI???ATI0000000000002200
P210385908000114424           SCHIN LIMAO 2000ML                                PC????ATF0000000000001600
P210385908000114598           EXCLUIDO                                          UNI???ATI0000000000002200
P210385908000114426           PETACA WHISKY TEACHER'S 250ML                     UNI???ATF0000000000001000
P210385908000114633           SALG. PIPOFLOCS METALIZADO CHURRASCO C/5          UNI???ATT1800000000000500
P210385908000114622           SALG. QI-FLOCS CEBOLA 70G                         UNI???ATT1800000000000450
P210385908000114433           EXCLUIDO                                          PC????ATT0000000000000230
P210385908000114442           PIRULITO CHERRY MIX C/50                          PC????ATT1800000000000500
P210385908000114444           PIRULITO CHERRY POP MORANGO                       PC????ATT1800000000000500
P210385908000114445           PIRULITO CORACAO MORANGO C/50                     PC????ATT1800000000000170
P210385908000114495           LEITE MOLICO DES.                                 UNI???ATT1800000000000750
P210385908000114879           SAND HAV COLOR TURQUESA 43/44                     PC????ATT1800000000003750
P210385908000114630           SALG. PIPOFLOCS METALIZADO CAMARAO C/10           UNI???ATT1800000000000280
P210385908000114449           PIRULITO PARABENS BRIGADEIRO C/50                 PC????ATT1800000000000170
P210385908000114626           SALG. PIPOFLOCS METALIZADO CEBOLA C/10            UNI???ATT1800000000000280
P210385908000114611           CHIC. ZAZUAGE BOL TUTTI FRUTTI                    CX????ATT1800000000000350
P210385908000114612           CERVEJA NOVA SCHIN 1000ML C/RETORNO               CX????ATF0000000000004400
P210385908000114464           PIRULITO CHERRY POP CEREJA                        PC????ATT1800000000000700
P210385908000114616           SALG. PIPOFLOCS GALINHA C/30                      UNI???ATT1800000000000280
P210385908000114466           POLIDOR ALUMINIO RISO 12X500ML                    CX????ATT1800000000001000
P210385908000114467           POLIDOR DE ALUMINIO C/24 MAXIMO BRILHO            UNI???ATT1800000000000900
P210385908000114468           PRESTOBARBA GILLETTE                              UNI???ATF0000000000004200
P210385908000114469           DOCILE SORT C/60                                  UNI???ATT1800000000000400
P210385908000114472           RED BULL                                          UNI???ATF0000000000000580
P210385908000114473           RON CARTA BRANCA                                  L?????ATF0000000000001450
P210385908000114474           RON CRISTAL                                       L?????ATF0000000000001550
P210385908000114476           SABAO ARCOVERDE 20X500G                           CX????ATI0000000000002300
P210385908000114477           SABAO ARCOVERDE AZUL EXTRA 20X500G                CX????ATI0000000000002350
P210385908000114478           SABAO ARCOVERDE PLUS LIMAO                        CX????ATI0000000000003000
P210385908000114480           SABAO FENEME 20X500G                              CX????ATI0000000000002300
P210385908000114481           SABAO FENEME PLUS 20X500G                         CX????ATI0000000000003000
P210385908000114483           EXCLUIDO                                          CX????ATI0000000000002700
